book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
39ebe884-8516-42af-afa5-1ba5c6c74169,fiction,The Oath of the Vayuputras,The Shiva Trilogy Book 3,Amish Tripathi,"Shiva has accepted his destiny, but it has brought him to despair. Can he heal himself and the people who look to him as a god? Today, Shiva is a god. But four thousand years ago, he was just a man - until he brought his people to Meluha, a near-perfect empire founded by the great king Lord Ram. There he realised he was the Neelkanth, a barbarian long prophesied to be Meluha's saviour. But in his hour of victory fighting the Chandravanshis - Meluha's enemy - he discovered they had their own prophecy. Now he must fight to uncover the treachery within his inner circle, and unmask those who are about to destroy all that he has fought for. Shiva is about to learn that good and evil are two sides of the same coin . . .","9781780874104, 1780874103",True,False,400,Fiction,en,http://books.google.com/books/content?id=ZO9gBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=ZO9gBQAAQBAJ&dq=fiction&hl=&source=gbs_api,2014,Hachette UK
14c0f98f-827f-49ae-9dd3-70bda751c4ed,fiction,Harpercollins Book Of New Indian Fiction,N/A,Khushwant Singh,"In this unparalleled collection of short stories, The HarperCollins Book of New Indian Fiction presents an absorbing view of one of the most fertile literary landscapes in the world. Traversing continents and orbits, styles and themes, in rich, original and frequently surprising ways, the stories testify to the range and depth of Indian writing in English. Variously lyric, satiric, tragic and fantastic, they are unified in their vigour and humanity. T The anthology features a rich assortment of voices from both new authors and established names including Abraham Verghese, Manju Kapur, Githa Hariharan and Amitava Kumar. With an insightful introduction by Khushwant Singh, one of India's foremost literary personalities, this is the definitive survey of a lively modern scene.",UOM:39015067805971,False,False,220,Fiction,en,http://books.google.com/books/content?id=L9NlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=L9NlAAAAMAAJ&dq=fiction&hl=&source=gbs_api,2005,HarperCollins
287b18ca-033d-4f66-962d-02e7c32c840b,fiction,Get to the Point!,Sharpen Your Message and Make Your Words Matter,Joel Schwartzberg,"In this indispensable guide for anyone who must communicate in speech or writing, Schwartzberg shows that most of us fail to convince because we don't have a point-a concrete contention that we can argue, defend, illustrate, and prove. He lays out, step-by-step, how to develop one. In Joel's Schwartzberg's ten-plus years as a strategic communications trainer, the biggest obstacle he's come across-one that connects directly to nervousness, stammering, rambling, and epic fail-is that most speakers and writers don't have a point. They typically have just a title, a theme, a topic, an idea, an assertion, a catchphrase, or even something much less. A point is something more. It's a contention you can propose, argue, defend, illustrate, and prove. A point offers a position of potential value. Global warming is real is not a point. Scientific evidence shows that global warming is a real, human-generated problem that will have a devastating environmental and financial impact is a point. When we have a point, our influence snaps into place. We communicate belief, conviction, and urgency. This book shows you how to identify your point, leverage it, stick to it, and sell it and how to train others to identify and successfully make their own points.","9781523094127, 1523094125",False,True,129,Business & Economics,en,http://books.google.com/books/content?id=7EHKDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=7EHKDgAAQBAJ&dq=fiction&hl=&source=gbs_api,2017,Berrett-Koehler Publishers
f2859826-5af5-4354-8f4b-d9e8fcfa7398,fiction,Prose Fiction: An Introduction to the Semiotics of Narrative,N/A,Ignasi Ribó,"This concise and highly accessible textbook outlines the principles and techniques of storytelling. It is intended as a high-school and college-level introduction to the central concepts of narrative theory – concepts that will aid students in developing their competence not only in analysing and interpreting short stories and novels, but also in writing them. This textbook prioritises clarity over intricacy of theory, equipping its readers with the necessary tools to embark on further study of literature, literary theory and creative writing. Building on a ‘semiotic model of narrative,’ it is structured around the key elements of narratological theory, with chapters on plot, setting, characterisation, and narration, as well as on language and theme – elements which are underrepresented in existing textbooks on narrative theory. The chapter on language constitutes essential reading for those students unfamiliar with rhetoric, while the chapter on theme draws together significant perspectives from contemporary critical theory (including feminism and postcolonialism). This textbook is engaging and easily navigable, with key concepts highlighted and clearly explained, both in the text and in a full glossary located at the end of the book. Throughout the textbook the reader is aided by diagrams, images, quotes from prominent theorists, and instructive examples from classical and popular short stories and novels (such as Jane Austen’s Pride and Prejudice, Franz Kafka’s ‘The Metamorphosis,’ J. K. Rowling’s Harry Potter, or Dostoyevsky’s The Brothers Karamazov, amongst many others). Prose Fiction: An Introduction to the Semiotics of Narrative can either be incorporated as the main textbook into a wider syllabus on narrative theory and creative writing, or it can be used as a supplementary reference book for readers interested in narrative fiction. The textbook is a must-read for beginning students of narratology, especially those with no or limited prior experience in this area. It is of especial relevance to English and Humanities major students in Asia, for whom it was conceived and written.","9781783748129, 1783748125",True,True,119,Education,en,http://books.google.com/books/content?id=TGDIDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=TGDIDwAAQBAJ&source=gbs_api,2019,Open Book Publishers
ea1fcf51-27ff-4366-a78c-35ef556d51fd,fiction,Barlasch of the Guard,in large print,Henry Seton Merriman,Reproduction of the original. The publishing house Megali specialises in reproducing historical works in large print to make reading easier for people with impaired vision.,"9783387315530, 3387315538",False,True,342,Fiction,en,http://books.google.com/books/content?id=Q4D3EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=Q4D3EAAAQBAJ&dq=fiction&hl=&source=gbs_api,2024,BoD – Books on Demand
4c81b3c1-6e7b-4f89-a412-8acc1c81a775,fiction,Radiance,N/A,Catherynne M. Valente,"Severin Unck is the headstrong young daughter of a world famous film director. She has inherited her father's love of the big screen but not his exuberant gothic style of filmmaking. Instead, Severin makes documentaries, artful and passionate and even rather brave - for she is a realist in a fantastic alternate universe, in which Hollywood occupies the moon, Mars is rife with lawless saloons, and the solar system contains all manner of creatures, cults and colonies. For Severin's latest project she leads her crew to the watery planet of Venus to investigate the disappearance of a diving colony there. But something goes wrong during the course of their investigations; and her crew limp home without her. All that remains of Severin are fragments. Can these snippets of scenes and shots, voices and memories, pages and recordings be collected and pieced together to tell the story of her life - and shed light on the mystery of her vanishing? Clever, dreamy, strange and beautifully written - Radiance is a novel about how stories give form to worlds.","9781472115164, 1472115163",True,False,423,Fiction,en,http://books.google.com/books/content?id=N75tCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=N75tCQAAQBAJ&source=gbs_api,2015,Hachette UK
7df0ead1-eca6-4740-bf30-e72d4435c094,fiction,The Art of Fiction,N/A,David Lodge,"In this entertaining and enlightening collection David Lodge considers the art of fiction under a wide range of headings, drawing on writers as diverse as Henry James, Martin Amis, Jane Austen and James Joyce. Looking at ideas such as the Intrusive Author, Suspense, the Epistolary Novel, Magic Realism and Symbolism, and illustrating each topic with a passage taken from a classic or modern novel, David Lodge makes the richness and variety of British and American fiction accessible to the general reader. He provides essential reading for students, aspiring writers and anyone who wants to understand how fiction works.","9781448137794, 1448137799",True,False,255,Literary Criticism,en,http://books.google.com/books/content?id=MnKdAfqLG14C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=MnKdAfqLG14C&dq=fiction&hl=&source=gbs_api,2012,Random House
4342cc39-753b-4e7c-817a-e82a1ed8b513,fiction,When We Were Animals,N/A,Joshua Gaylord,"Nobody knew why, but when the boys and girls reached a certain age the parents locked themselves up in their houses, and the teenagers ran wild... Lumen Fowler knows she is different. While the rest of her peers are falling beneath the sway of her community’s darkest rite of passage, she resists. For Lumen has a secret. Her mother never ‘breached’ and she knows she won’t either. But as she investigates her town’s strange traditions and unearths stories from her family’s past, she soon realises she may not know herself – or her wild side – at all...","9781473584761, 1473584760",True,False,338,Fiction,en,http://books.google.com/books/content?id=TuveDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=TuveDwAAQBAJ&source=gbs_api,2020,Random House
0e1cdcc9-a323-4fbb-bf9b-040ed3393654,fiction,The Course of True Love (and First Dates),N/A,Cassandra Clare,"Magnus Bane and Alec Lightwood might fall in love—but first they have a first date. One of ten adventures in The Bane Chronicles. When Magnus Bane, warlock, meets Alec Lightwood, Shadowhunter, sparks fly. And what happens on their first date lights a flame... This standalone e-only short story illuminates the life of the enigmatic Magnus Bane, whose alluring personality populates the pages of the #1 New York Times bestselling series The Mortal Instruments and The Infernal Devices. This story in The Bane Chronicles, The Course of True Love (and First Dates), is written by Cassandra Clare.","9781442495630, 1442495634",True,False,47,Juvenile Fiction,en,http://books.google.com/books/content?id=GdgeAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=GdgeAAAAQBAJ&dq=fiction&hl=&source=gbs_api,2014,Simon and Schuster
e62883d9-aa5f-4c34-b079-97c024a95c46,fiction,A Closed and Common Orbit,Wayfarers 2,Becky Chambers,"SHORTLISTED FOR THE 2017 HUGO AWARD AND THE ARTHUR C CLARKE AWARD. WINNER OF THE 2017 PRIX JULIA-VERLANGER. 'Chambers is simply an exceptional talent' Tor.com The stand-alone sequel to the award-winning The Long Way to a Small, Angry Planet. Lovelace was once merely a ship's artificial intelligence. When she wakes up in an new body, following a total system shut-down and reboot, she has to start over in a synthetic body, in a world where her kind are illegal. She's never felt so alone. But she's not alone, not really. Pepper, one of the engineers who risked life and limb to reinstall Lovelace, is determined to help her adjust to her new world. Because Pepper knows a thing or two about starting over. Together, Pepper and Lovey will discover that, huge as the galaxy may be, it's anything but empty. PRAISE FOR THE WAYFARERS 'Never less than deeply involving' DAILY MAIL 'Explores the quieter side of sci-fi while still wowing us with daring leaps of imagination' iBOOKS 'So much fun to read' HEAT 'Warm, engaging, properly science-fictional, A Closed and Common Orbit is a very likable novel indeed' GUARDIAN 'The most fun that I've had with a novel in a long, long time' iO9","9781473621459, 1473621453",True,False,353,Fiction,en,http://books.google.com/books/content?id=EjWuDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=EjWuDQAAQBAJ&dq=fiction&hl=&source=gbs_api,2016,Hodderscape
6bf4b038-7b09-458b-9c44-ce9e2f2bcb2d,fiction,The Bird with the Golden Wings,Stories of Wit and Magic,Sudha Murty,"A poor little girl is rewarded with lovely gifts when she feeds a hungry bird all the rice she has. What happens when the girl’s greedy, nosy neighbour hears the story and tries to get better gifts for herself? Why did the once sweet sea water turn salty? How did the learned teacher forget his lessons only to be aided by the school cook? And how did the king hide his horrible donkey ears from the people of his kingdom? For answers to all this and more, delve right into another fabulous collection of stories by Sudha Murty.","9789385890505, 9385890506",True,False,125,Juvenile Fiction,en,http://books.google.com/books/content?id=Sfc6CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=Sfc6CwAAQBAJ&dq=fiction&hl=&source=gbs_api,2016,Penguin UK
b7b9ec5b-5806-4cd5-bc0e-12260daba726,fiction,Legal Fiction,A Novel,Chandan Pandey,"This is like Kafka in Deoria. Or Camus in the cow belt. But more accurate to say that Legal Fiction is an urgent, literary report about how truth goes missing in our land. I read it with a racing heart. -- Amitava Kumar, author of The Lovers Chandan Pandey goes looking for the story that lurks just out of sight, getting under the skin of news headlines and extracting a story that is as compelling as it is devastating. -- Annie Zaidi, author of Prelude to a Riot Chandan Pandey has written a brilliant, gripping political novel. Legal Fiction is a nuanced, absorbing snapshot of our times -- it captures the minefield of hate politics, the intricate almost invisible fault-lines in relationships, and the power of art in imagining a better society. -- Meena Kandasamy, author of When I Hit You The Hindi novel was already destined to be a marker for this era. Now this translation fills a big gap, for no work originally written in English in India has scratched the surface of what Legal Fiction approaches the cold, dark centre of. Here, in the form of a thriller and the tone of an elegy, is a sharp look at a terrifying Indian -ism and the currents against it. Be ready for a heart of darkness. -- Tanuj Solanki, author of Diwali in Muzaffarnagar Legal fiction: A rule assuming as true something that is clearly false. Often used to get around the provisions of constitutions and legal codes. A late-night phone call from his ex-girlfriend Anasuya forces writer Arjun Kumar to leave his wife and home in Delhi and travel to the mofussil town of Noma on the UP-Bihar border. The reason -- Anasuya's husband, Rafique Neel, a college professor and theatre director, has mysteriously disappeared. Soon after he arrives, Arjun realizes that things are not as they seem: the police are refusing to register a missing-persons case, Rafique's student Janaki has also disappeared, and the locals are determined to turn it into a case of 'love jihad'. And when Arjun begins to dig deeper, what he finds endangers him and everyone around him. Inspired by true events from today's India, Legal Fiction is a brilliant existential thriller and a chilling parable of our times.","9789354224461, 9354224466",True,False,124,Fiction,en,http://books.google.com/books/content?id=QLMvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=QLMvEAAAQBAJ&source=gbs_api,2021,Harper Collins
300afb02-6bdc-47bc-bf06-76aab1967486,fiction,101 Inspiring Stories,N/A,G. Francis Xavier,"This is one of the many inspiring books from the renowned “Motivator” Dr. G. Francis Xavier. Evidently, this harvest of stories has been gleaned from lands he visited and books he read. Xavier, who conducts full-house personal growth courses has brought out this compendium in an interactive form, making the reader give the answers at the end of the story, which is a novel approach. Stories and examples are the best way to inspire, and this volume can be gifted to anyone. It is useful for preachers, speakers and teachers. The book appeals to readers of all ages except the morose and irredeemable negaholics (negative thinking addicts) and anti-reading teenagers. It has stories to inspire and promises uninterrupted chuckles till the end. There are also quotations on success.","9788184950281, 8184950284",True,True,150,Self-Help,en,http://books.google.com/books/content?id=qdTgpEwSiIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=qdTgpEwSiIQC&source=gbs_api,2014,Jaico Publishing House
de5cdf59-41f4-41b9-b418-2bf01d90abb0,fiction,The Man in the High Castle,N/A,Philip K. Dick,"Slavery is back. America, 1962. Having lost a war, America finds itself under Nazi Germany and Japan occupation. A few Jews still live under assumed names. The 'I Ching' is prevalent in San Francisco. Science fiction meets serious ideas in this take on a possible alternate history.","9780547572482, 0547572484",False,True,291,Fiction,en,http://books.google.com/books/content?id=NtukmPtq2l8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=NtukmPtq2l8C&dq=fiction&hl=&source=gbs_api,2011,Houghton Mifflin Harcourt
b603bc9f-1731-4c00-a911-2a02032f6fb9,fiction,Dune,N/A,Frank Herbert,"• DUNE: PART TWO • THE MAJOR MOTION PICTURE Directed by Denis Villeneuve, screenplay by Denis Villeneuve and Jon Spaihts, based on the novel Dune by Frank Herbert • Starring Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Stephen McKinley Henderson, Léa Seydoux, with Stellan Skarsgård, with Charlotte Rampling, and Javier Bardem Frank Herbert’s classic masterpiece—a triumph of the imagination and one of the bestselling science fiction novels of all time. Set on the desert planet Arrakis, Dune is the story of Paul Atreides—who would become known as Muad'Dib—and of a great family's ambition to bring to fruition mankind's most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.","9781101658055, 1101658053",True,False,897,Fiction,en,http://books.google.com/books/content?id=p1MULH7JsTQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=p1MULH7JsTQC&source=gbs_api,2003,Penguin
525f187b-327c-48a5-b502-2deb42d60917,fiction,Wine and War,N/A,Donald & Petie Kladstrup,"In the vineyards, wine caves, and cellars of France as war and occupation came to the country winemakers acted heroically not only to save the best wines but to defend their way of life. These are the true stories of vignerons who sheltered Jewish refugees in their cellars and of winemakers who risked their lives to aid the resistance. They made chemicals in secret laboratories to fuel the resistance and fled from the Gestapo when arrests became imminent. There were treacheries too, as some of the nation's winemakers supported the Vichy regime or the Germans themselves and collaborated. Donald Kladstrup is a retired American network correspondent. He and his wife Petie have accumulated these fascinating stories, told with the pace and action that will fascinate fiction and non-fiction readers alike.","9781444717570, 144471757X",True,False,275,Biography & Autobiography,en,http://books.google.com/books/content?id=ca2nXhwPc7cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=ca2nXhwPc7cC&source=gbs_api,2011,Hachette UK
20ea7c5b-b08c-4320-992d-7857a2b34fd3,fiction,My Life with Bob,"Flawed Heroine Keeps Book of Books, Plot Ensues",Pamela Paul,"""For twenty-eight years, Pamela Paul has been keeping a diary that records the books she reads, rather than the life she leads. Or does it? Over time, it's become clear that this Book of Books, or Bob, as she calls him, tells a much bigger story. For Paul, as for many readers, books reflect her inner life--her fantasies and hopes, her dreams and ideas. And her life, in turn, influences which books she chooses, whether for solace or escape, diversion or self-reflection, information or entertainment. My Life with Bob isn't about what's in those books; it's about the relationship between books and readers""--","9781627796316, 1627796312",False,False,256,Biography & Autobiography,en,http://books.google.com/books/content?id=WmBhDgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=WmBhDgAAQBAJ&dq=fiction&hl=&source=gbs_api,2017,Henry Holt
16eecd83-f899-467f-af78-ee4a190ab94e,fiction,Creating Short Fiction,The Classic Guide to Writing Short Fiction,Damon Knight,"Distilled from decades of teaching and practice, 'Creating Short Fiction' offers no-nonsense advise on structure, pacing, dialogue, getting ideas, and much more.","0312150946, 9780312150945",False,False,226,Language Arts & Disciplines,en,http://books.google.com/books/content?id=ANfI-0uMyXwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=ANfI-0uMyXwC&dq=fiction&hl=&source=gbs_api,1997,Macmillan
435ba3fc-9c12-4323-8703-c9fa14c84b06,fiction,The Way of Kings,Book One of the Stormlight Archive,Brandon Sanderson,A new epic fantasy series from the New York Times bestselling author chosen to complete Robert Jordan's The Wheel of Time® Series,"9780765376671, 0765376679",False,False,1013,Fiction,en,http://books.google.com/books/content?id=QVn-CgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4,4.5,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=QVn-CgAAQBAJ&dq=fiction&hl=&source=gbs_api,2014,Macmillan
fb749fa1-1be1-4876-b2a7-5e7b0e7c70b4,fiction,The Man from the Egg,Unusual Tales about the Trinity,Sudha Murty,"Did you know that Brahma once had five faces? Why do snakes have a forked tongue? Do gods cheat? Why does Shiva sport a crescent moon on his head? The Trinity, consisting of Brahma, Shiva and Vishnu, is the omnipresent trio responsible for the survival of the human race and the world as we know it. They are popular deities of worship all over India, but what remain largely unknown are some of their extraordinary stories. Award-winning author Sudha Murty walks by your side, weaving enchanting tales of the three most powerful gods from the ancient world. Each story will take you back to a magical time when people could teleport, animals could fly and reincarnation was simply a fact of life.","9789387326453, 9387326454",True,True,175,Juvenile Fiction,en,http://books.google.com/books/content?id=XilADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2,5,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=XilADwAAQBAJ&source=gbs_api,2017,Penguin Random House India Private Limited
9cabd2b4-c0f6-4c65-b7eb-d69c831dfe18,fiction,They,N/A,Kay Dick,"A dark, dystopian portrait of artists struggling to resist violent suppression—“queer, English, a masterpiece.” (Hilton Als) Set amid the rolling hills and the sandy shingle beaches of coastal Sussex, this disquieting novel depicts an England in which bland conformity is the terrifying order of the day. Violent gangs roam the country destroying art and culture and brutalizing those who resist the purge. As the menacing “They” creep ever closer, a loosely connected band of dissidents attempt to evade the chilling mobs, but it’s only a matter of time until their luck runs out. Winner of the 1977 South-East Arts Literature Prize, Kay Dick’s They is an uncanny and prescient vision of a world hostile to beauty, emotion, and the individual.","9781946022288, 1946022284",False,False,128,Fiction,en,http://books.google.com/books/content?id=b6VXEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=b6VXEAAAQBAJ&dq=fiction&hl=&source=gbs_api,2022,Simon and Schuster
7ceaf665-be68-4f7d-afac-337c0379c07a,fiction,"Here, There and Everywhere",Best-Loved Stories of Sudha Murthy,Sudha Murty,"Wearer of many hats-philanthropist, entrepreneur, computer scientist, engineer, teacher-Sudha Murty has above all always been a storyteller extraordinaire. Winner of the R.K. Narayan Award for Literature, the Padma Shri, the Attimabbe Award from the government of Karnataka for excellence in Kannada literature, and the Raymond Crossword Lifetime Achievement Award, her repertoire includes adult non-fiction, adult fiction, children's books, travelogues and technical books. Here, There and Everywhere is a celebration of her literary journey and is her 200th title across genres and languages. Bringing together her best-loved stories from various collections alongside some new ones and a thoughtful introduction, here is a book that is, in every sense, as multifaceted as its author.","9789353050337, 9353050332",True,True,165,Literary Collections,en,http://books.google.com/books/content?id=mKxZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2,5,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=mKxZDwAAQBAJ&source=gbs_api,2018,Penguin Random House India Private Limited
96dd6d75-0d7b-4605-a204-80fbbf9e1cdf,fiction,Ender's Game,,Orson Scott Card,"This engaging, collectible, miniature hardcover of the Orson Scott Card classic and worldwide bestselling novel, Ender's Game, makes an excellent gift for anyone's science fiction library. ""Ender's Game is an affecting novel.""--New York Times Book Review Once again, Earth is under attack. An alien species is poised for a final assault. The survival of humanity depends on a military genius who can defeat the aliens. But who? Ender Wiggin. Brilliant. Ruthless. Cunning. A tactical and strategic master. And a child. Recruited for military training by the world government, Ender's childhood ends the moment he enters his new home: Battle School. Among the elite recruits Ender proves himself to be a genius among geniuses. He excels in simulated war games. But is the pressure and loneliness taking its toll on Ender? Simulations are one thing. How will Ender perform in real combat conditions? After all, Battle School is just a game. Isn't it? THE ENDER UNIVERSE Ender series Ender's Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the Mind Ender's Shadow series Ender's Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive Ender novellas A War of Gifts /First Meetings","9780765394866, 0765394863",False,False,448,Fiction,en,http://books.google.com/books/content?id=jaM7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3,5,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=jaM7DwAAQBAJ&dq=fiction&hl=&source=gbs_api,2017,Tor Books
a1335b60-e1dc-4989-8bed-56aad9ecb148,fiction,I Have No Mouth & I Must Scream,Stories,Harlan Ellison,"Seven stunning stories of speculative fiction by the author of A Boy and His Dog. In a post-apocalyptic world, four men and one woman are all that remain of the human race, brought to near extinction by an artificial intelligence. Programmed to wage war on behalf of its creators, the AI became self-aware and turned against humanity. The five survivors are prisoners, kept alive and subjected to brutal torture by the hateful and sadistic machine in an endless cycle of violence. This story and six more groundbreaking and inventive tales that probe the depths of mortal experience prove why Grand Master of Science Fiction Harlan Ellison has earned the many accolades to his credit and remains one of the most original voices in American literature. I Have No Mouth and I Must Scream also includes “Big Sam Was My Friend,” “Eyes of Dust,” “World of the Myth,” “Lonelyache,” Hugo Award finalist “Delusion for a Dragon Slayer,” and Hugo and Nebula Award finalist “Pretty Maggie Moneyeyes.”","9781497609617, 1497609615",True,True,167,Fiction,en,http://books.google.com/books/content?id=ARpoAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,3,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=ARpoAwAAQBAJ&dq=fiction&hl=&source=gbs_api,2014,Open Road Media
db6fcbad-d179-4560-a3e9-5125b8f09f9c,fiction,The Pillars of the Earth,N/A,Ken Follett,"An epic, spellbinding tale of ambition, anarchy, and absolute power set against the sprawling medieval canvas of twelfth-century England, The Pillars of the Earth is Ken Follett's historical masterpiece. A Mason with a Dream It is 1135 and civil war, famine and religious strife abound. With his family on the verge of starvation, mason Tom Builder dreams of the day that he can use his talents to create and build a cathedral like no other. A Monk with a Burning Mission Philip is the church prior of Kingsbridge. A resourceful man, he knows that if his town is to survive at all, it must find a way to truly thrive. He decides, then, to build Kingsbridge the greatest Gothic cathedral the world has ever known. A World of High Ideals and Savage Cruelty As the prior recruits his mason, so begins a journey of ambition, anarchy and the struggle for absolute power. Facing enemies that would thwart them, they will stop at nothing to fulfil their grand plans of Kingsbridge. Soon build tensions between good and evil, turning church against state, and brother against brother . . . The Pillars of the Earth is the first in The Kingsbridge Novels series, followed by World Without End and A Column of Fire.","9780330465717, 0330465716",True,False,1136,Fiction,en,http://books.google.com/books/content?id=CiCYALkUTaIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4,5,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=CiCYALkUTaIC&source=gbs_api,2008,Pan Macmillan
ea8cdc96-ba3d-4006-9430-758621588c7f,fiction,The Tales of Mother Goose,N/A,Charles Perrault,"""The Tales of Mother Goose"" (French: ""Histoires ou contes de temps passé, avec des moralités"") is a collection of classic French fairy tales written by Charles Perrault and first published in 1697. These tales have become some of the most enduring and well-known stories in Western literature. They include stories like ""Cinderella,"" ""Little Red Riding Hood,"" ""Sleeping Beauty,"" ""Bluebeard,"" and ""Puss in Boots."" Charles Perrault is often credited with popularizing these traditional oral folktales and turning them into written literature. His versions of these tales have been the basis for countless adaptations, retellings, and adaptations in various forms of media, including literature, theater, film, and animation. ""The Tales of Mother Goose"" remains a classic work that has had a lasting impact on the world of fairy tales and children's literature.",9791041824908,False,True,42,Fiction,en,http://books.google.com/books/content?id=lBPiEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=lBPiEAAAQBAJ&dq=fiction&hl=&source=gbs_api,2023,BoD - Books on Demand
